person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_age_bin,person_income_bin,_row_id
22,59000,RENT,14.5,PERSONAL,D,23000,16.02,1,0.44000000000000006,Y,3.0,18-25,"(49000.0, 63000.0]",0
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2.0,18-25,"(3999.999, 35000.0]",1
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.44000000000000006,N,3.0,18-25,"(3999.999, 35000.0]",2
23,65500,RENT,4.0,MEDICAL,C,23000,15.23,1,0.44000000000000006,N,2.0,18-25,"(63000.0, 86000.0]",3
24,54400,RENT,8.0,MEDICAL,C,23000,14.27,1,0.44000000000000006,Y,4.0,18-25,"(49000.0, 63000.0]",4
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2.0,18-25,"(3999.999, 35000.0]",5
26,77100,RENT,8.0,EDUCATION,B,23000,12.42,1,0.44000000000000006,N,3.0,26-35,"(63000.0, 86000.0]",6
24,78956,RENT,5.0,MEDICAL,B,23000,11.11,1,0.44,N,4.0,18-25,"(63000.0, 86000.0]",7
24,83000,RENT,8.0,PERSONAL,A,23000,8.9,1,0.42,N,2.0,18-25,"(63000.0, 86000.0]",8
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3.0,18-25,"(3999.999, 35000.0]",9
22,85000,RENT,6.0,VENTURE,B,23000,10.37,1,0.41,N,4.0,18-25,"(63000.0, 86000.0]",10
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.44000000000000006,N,2.0,18-25,"(3999.999, 35000.0]",11
23,95000,RENT,2.0,VENTURE,A,23000,7.9,1,0.37,N,2.0,18-25,"(86000.0, 138000.0]",12
26,108160,RENT,4.0,EDUCATION,E,23000,18.39,1,0.32,N,4.0,26-35,"(86000.0, 138000.0]",13
23,115000,RENT,2.0,EDUCATION,A,23000,7.9,0,0.3,N,4.0,18-25,"(86000.0, 138000.0]",14
